Row	Locator Number	Address	Zip Code	Distance (miles)	Sale Date	Sale Price	Price Per Sq. Ft.	Sale Validity	Total Acres	Living Units / Story Height	Exterior Wall Type	Architectural Style	Year Built	Total Living Area	Basement	Bed / Total Rooms	Full / Half Baths
445	24S340900	718 Mark Wesley Ln.	63021	0.55	10/27/2021	$485,000	$146.52	X	0.2647	1 / 2	Masonry and Frame	Conventional	1997	3,310	Full	4 / 9	4 / 1
446	24R211362	333 Carr Manor Ct.	63021	0.92	10/22/2021	$492,000	$154.13	X	0.3471	1 / 2	Aluminum / Vinyl	Conventional	2002	3,192	Full	4 / 12	4 / 1
447	24S641179	7 Remington Place Ct.	63021	0.16	3/4/2021	$495,000	$152.07	2	0.2287	1 / 1	Aluminum / Vinyl	Ranch	2000	3,255	Full	3 / 7	3 / 1
448	24R121171	295 Arbor Trails Dr.	63021	0.85	4/18/2022	$500,000	$167.33	X	0.1639	1 / 2	Aluminum / Vinyl	Conventional	2003	2,988	Full	4 / 8	2 / 1
449	23S211090	701 Reinke Rd.	63021	0.78	7/19/2021	$506,035	$175.21	X	0.5424	1 / 2	Aluminum / Vinyl	Conventional	2021	2,888	Full	4 / 9	2 / 1
450	25S640906	765 Charleston Oaks Dr.	63021	0.83	6/21/2021	$510,000	$218.13	2	0.2500	1 / 1	Aluminum / Vinyl	Ranch	1995	2,338	Full	4 / 11	5 / 1
451	24S220844	573 Oak Leaf Manor Ct.	63021	0.81	9/7/2022	$515,000	$197.46	X	0.2152	1 / 2	Frame	Conventional	1991	2,608	Full	4 / 10	2 / 1
452	24R411021	260 Magnolia Trace Dr.	63021	0.24	8/29/2022	$515,000	$172.41	X	0.2531	1 / 2	Aluminum / Vinyl	Conventional	2006	2,987	Full	4 / 10	2 / 1
453	24S320733	730 Mark Wesley Ln.	63021	0.59	6/21/2022	$515,000	$220.55	X	0.3182	1 / 1	Masonry and Frame	Ranch	1996	2,335	Full	3 / 8	3 / 0
454	24R430941	290 Dickens Farm Ln.	63021	0.25	3/4/2021	$519,195	$162.65	2	0.2401	1 / 2	Masonry and Frame	Conventional	1998	3,192	Full	4 / 9	2 / 1
455	25S631137	407 Arbor Lake Ct.	63021	0.89	10/5/2021	$535,000	$177.91	X	0.2632	1 / 2	Aluminum / Vinyl	Conventional	1992	3,007	Full	3 / 8	3 / 1
456	23S211089	705 Reinke Rd.	63021	0.80	6/30/2021	$538,355	$165.49	X	0.4591	1 / 2	Aluminum / Vinyl	Conventional	2021	3,253	Full	4 / 9	4 / 1
457	23S321089	2 Remington Place Ct.	63021	0.16	5/24/2021	$540,000	$140.33	X	0.2298	1 / 2	Masonry and Frame	Colonial	2003	3,848	Full	4 / 9	3 / 1
458	25S630895	403 Arbor Lake Ct.	63021	0.89	12/29/2021	$544,000	$192.90	X	0.3300	1 / 2	Masonry and Frame	Conventional	1991	2,820	Full	4 / 9	3 / 1
459	25S640586	406 Leicester Square Dr.	63021	0.92	11/14/2022	$549,900	$219.43	X	0.3192	1 / 1	Aluminum / Vinyl	Ranch	1994	2,506	Full	4 / 9	4 / 0
460	24S310783	534 Arbor Meadow Dr.	63021	0.88	10/3/2022	$550,000	$220.70	X	0.2167	1 / 2	Masonry and Frame	Conventional	1990	2,492	Full	4 / 8	2 / 1
